Age_Band,Income_Band,Marital_Status,Country,avg_wines,avg_fruits,avg_meat,avg_fish,avg_sweets,avg_gold,avg_total_spend,response_rate_pct
18-29,Very High,YOLO,Spain,1061.67,17.33,473.67,53.33,25.67,70.33,1702.0,66.67
18-29,Very High,YOLO,USA,670.0,89.5,139.0,211.0,28.5,81.0,1219.0,0.0
30-39,High,Absurd,Australia,152.0,0.0,184.0,40.0,127.0,170.0,673.0,0.0
30-39,High,Absurd,Canada,617.67,28.67,361.0,82.67,60.33,19.0,1169.33,33.33
30-39,High,Absurd,Germany,489.0,9.25,186.5,58.75,8.5,30.75,782.75,50.0
30-39,High,Absurd,India,1493.0,39.0,134.0,259.0,34.0,30.0,1989.0,0.0
30-39,High,Absurd,Saudi Arabia,210.5,11.25,209.75,191.75,16.75,58.5,698.5,25.0
30-39,High,Absurd,Spain,428.55,24.7,469.05,71.05,36.0,53.85,1083.2,25.0
30-39,High,Absurd,USA,374.5,28.25,270.25,111.5,26.25,15.25,826.0,25.0
30-39,High,Alone,Australia,110.0,11.33,504.0,65.0,98.33,70.33,859.0,66.67
30-39,High,Alone,Canada,270.64,5.5,223.29,83.5,37.43,42.57,662.93,21.43
30-39,High,Alone,Germany,439.0,11.5,325.5,141.75,21.0,35.25,974.0,25.0
30-39,High,Alone,India,0.0,20.0,704.0,34.0,6.0,20.0,784.0,0.0
30-39,High,Alone,Saudi Arabia,323.0,3.71,481.14,104.57,20.0,49.86,982.29,14.29
30-39,High,Alone,Spain,232.52,28.81,300.59,76.07,44.81,67.85,750.67,40.74
30-39,High,Alone,USA,58.0,1.0,466.0,67.0,7.0,21.0,620.0,0.0
30-39,High,Divorced,Australia,333.67,23.42,343.67,74.22,28.09,50.18,853.24,26.67
30-39,High,Divorced,Canada,322.41,29.52,370.34,72.0,32.22,38.79,865.28,20.0
30-39,High,Divorced,Germany,361.26,28.36,382.56,89.44,36.14,52.24,950.0,26.0
30-39,High,Divorced,India,305.87,19.41,415.99,91.2,37.12,59.7,929.29,24.24
30-39,High,Divorced,Mexico,374.25,16.75,525.25,39.75,9.5,43.75,1009.25,25.0
30-39,High,Divorced,Saudi Arabia,308.11,19.45,354.25,85.62,20.38,38.22,826.04,23.64
30-39,High,Divorced,Spain,304.31,20.11,393.82,62.32,20.34,39.73,840.62,17.65
30-39,High,Divorced,USA,276.54,30.67,345.44,71.05,31.79,51.59,807.08,28.21
30-39,High,Married,Australia,406.65,16.51,280.71,77.01,32.91,44.01,857.81,25.0
30-39,High,Married,Canada,281.75,22.06,309.33,59.46,29.92,35.14,737.66,17.86
30-39,High,Married,Germany,366.47,30.66,342.02,67.43,38.4,47.72,892.7,23.4
30-39,High,Married,India,247.09,33.38,435.89,80.45,40.33,48.2,885.35,16.36
30-39,High,Married,Mexico,223.72,21.67,382.44,38.39,31.39,50.11,747.72,22.22
30-39,High,Married,Saudi Arabia,358.36,19.66,266.71,68.11,22.84,38.59,774.27,19.59
30-39,High,Married,Spain,344.74,20.41,332.4,57.4,24.69,43.47,823.11,17.24
30-39,High,Married,USA,326.81,21.81,383.04,55.77,30.81,28.26,846.49,17.02
30-39,High,Single,Australia,477.8,16.64,373.53,79.41,33.08,53.82,1034.29,24.83
30-39,High,Single,Canada,389.88,22.07,321.23,87.38,18.23,54.99,893.79,13.27
30-39,High,Single,Germany,271.6,15.27,444.79,54.88,32.45,55.96,874.95,17.39
30-39,High,Single,India,311.23,21.55,398.97,81.03,30.73,75.0,918.5,22.58
30-39,High,Single,Mexico,337.25,3.88,415.75,21.0,42.5,35.25,855.63,12.5
30-39,High,Single,Saudi Arabia,356.63,18.25,313.53,54.04,26.09,59.34,827.88,19.59
30-39,High,Single,Spain,368.55,16.05,363.71,63.47,27.92,47.27,886.96,19.75
30-39,High,Single,USA,346.39,20.29,356.0,68.07,36.89,36.68,864.32,21.43
30-39,High,Together,Australia,425.43,25.17,373.05,84.96,30.76,46.83,986.19,21.37
30-39,High,Together,Canada,352.82,20.36,374.25,67.49,32.46,50.41,897.78,13.36
30-39,High,Together,Germany,291.53,24.38,350.04,64.89,29.49,41.01,801.34,20.0
30-39,High,Together,India,312.28,23.31,434.2,75.44,36.15,55.39,936.77,29.51
30-39,High,Together,Mexico,261.0,20.48,414.13,58.96,34.96,54.65,844.17,17.39
30-39,High,Together,Saudi Arabia,342.05,24.56,361.35,76.51,30.8,53.21,888.48,16.37
30-39,High,Together,Spain,290.1,17.03,338.53,73.06,26.82,53.36,798.89,18.84
30-39,High,Together,USA,293.1,20.55,352.63,62.83,32.26,39.07,800.44,18.87
30-39,High,Widow,Australia,162.57,23.14,382.64,89.36,29.93,48.57,736.21,21.43
30-39,High,Widow,Canada,304.71,18.61,326.82,82.14,26.25,61.61,820.14,28.57
30-39,High,Widow,Germany,448.25,25.75,335.5,109.38,61.38,48.38,1028.63,12.5
30-39,High,Widow,India,393.5,22.55,382.5,68.36,31.64,37.45,936.0,13.64
30-39,High,Widow,Saudi Arabia,463.99,23.6,350.67,81.86,37.13,36.6,993.85,25.0
30-39,High,Widow,Spain,259.03,14.3,297.71,73.79,26.63,43.84,715.31,16.09
30-39,High,Widow,USA,404.0,28.78,479.11,62.56,32.22,24.56,1031.22,22.22
30-39,High,YOLO,Australia,232.33,43.67,237.33,93.0,74.0,90.33,770.67,33.33
30-39,High,YOLO,Canada,291.43,12.86,623.0,54.71,20.0,65.29,1067.29,57.14
30-39,High,YOLO,Germany,485.88,16.75,326.88,32.63,37.38,35.0,934.5,25.0
30-39,High,YOLO,India,112.0,30.5,503.0,65.0,64.5,60.5,835.5,0.0
30-39,High,YOLO,Saudi Arabia,310.74,22.16,397.95,106.16,36.16,49.32,922.47,21.05
30-39,High,YOLO,Spain,304.36,17.64,344.82,76.45,31.27,62.73,837.27,27.27
30-39,High,YOLO,USA,94.83,50.67,134.83,21.33,14.83,37.17,353.67,16.67
30-39,Low,Absurd,Canada,65.83,0.0,192.17,16.33,9.17,48.17,331.67,0.0
30-39,Low,Absurd,Germany,57.25,0.75,76.75,0.75,10.0,11.5,157.0,25.0
30-39,Low,Absurd,India,83.71,0.0,78.0,42.43,1.14,13.57,218.86,0.0
30-39,Low,Absurd,Saudi Arabia,0.0,0.4,50.6,3.2,25.2,4.8,84.2,0.0
30-39,Low,Absurd,Spain,50.96,2.86,106.24,12.8,1.43,9.75,184.04,3.92
30-39,Low,Absurd,USA,137.4,0.6,310.2,9.2,1.0,6.6,465.0,0.0
30-39,Low,Alone,Australia,0.0,3.0,98.0,12.5,3.5,3.5,120.5,0.0
30-39,Low,Alone,Canada,44.76,5.12,90.53,22.41,0.94,11.76,175.53,17.65
30-39,Low,Alone,India,44.0,0.0,161.0,227.0,3.0,30.0,465.0,0.0
30-39,Low,Alone,Saudi Arabia,26.23,0.23,63.77,4.77,2.46,5.23,102.69,7.69
30-39,Low,Alone,Spain,30.1,6.05,110.1,33.5,8.25,16.3,204.3,15.0
30-39,Low,Alone,USA,27.75,0.0,33.0,5.5,12.25,7.25,85.75,0.0
30-39,Low,Divorced,Australia,122.04,11.85,213.73,55.35,10.15,15.42,428.54,11.54
30-39,Low,Divorced,Canada,68.99,2.8,101.08,18.83,3.53,10.8,206.03,1.32
30-39,Low,Divorced,Germany,94.27,3.2,79.93,35.53,2.87,27.93,243.73,0.0
30-39,Low,Divorced,India,63.57,2.11,144.43,23.45,7.04,11.58,252.17,18.07
30-39,Low,Divorced,Saudi Arabia,70.4,1.81,104.68,17.34,11.09,9.11,214.43,11.32
30-39,Low,Divorced,Spain,49.07,1.13,44.34,12.58,3.08,12.25,122.45,3.77
30-39,Low,Divorced,USA,69.08,2.68,131.84,24.36,5.72,13.84,247.52,8.0
30-39,Low,Married,Australia,60.34,1.26,75.34,12.01,7.92,16.92,173.78,4.05
30-39,Low,Married,Canada,28.55,2.3,69.28,8.68,1.03,8.51,118.36,1.64
30-39,Low,Married,Germany,64.0,3.19,82.93,9.42,1.12,17.73,178.39,10.17
30-39,Low,Married,India,34.44,2.63,121.19,10.56,3.56,8.49,180.86,5.68
30-39,Low,Married,Mexico,36.09,3.09,73.78,4.57,1.43,15.78,134.74,0.0
30-39,Low,Married,Saudi Arabia,35.81,2.03,87.32,7.09,1.65,6.64,140.55,2.42
30-39,Low,Married,Spain,31.15,1.51,61.87,6.09,2.13,7.25,110.0,2.78
30-39,Low,Married,USA,14.44,1.34,61.15,5.83,2.38,7.32,92.46,1.79
30-39,Low,Single,Australia,105.44,2.71,158.3,18.38,7.05,14.87,306.75,12.75
30-39,Low,Single,Canada,78.66,1.63,86.28,11.4,4.79,11.82,194.58,4.76
30-39,Low,Single,Germany,62.0,1.06,108.04,11.1,2.76,14.69,199.66,6.48
30-39,Low,Single,India,81.31,3.37,119.0,13.51,6.9,23.43,247.53,5.71
30-39,Low,Single,Mexico,31.0,0.67,74.0,94.67,2.0,38.67,241.0,0.0
30-39,Low,Single,Saudi Arabia,50.33,3.65,78.96,18.86,1.41,13.28,166.49,2.0
30-39,Low,Single,Spain,56.77,2.06,92.07,8.45,3.57,9.42,172.34,4.01
30-39,Low,Single,USA,65.81,1.1,116.05,4.1,7.57,8.57,203.19,4.76
30-39,Low,Together,Australia,128.66,1.51,160.62,12.42,7.36,12.77,323.34,9.8
30-39,Low,Together,Canada,50.77,2.56,103.01,13.22,3.51,12.0,185.09,4.34
30-39,Low,Together,Germany,40.61,3.37,100.72,14.52,5.4,14.36,178.99,8.43
30-39,Low,Together,India,65.62,3.22,123.27,20.68,5.54,16.81,235.13,8.65
30-39,Low,Together,Mexico,5.97,3.48,173.94,16.45,10.32,8.61,218.77,9.68
30-39,Low,Together,Saudi Arabia,36.58,2.42,84.77,8.94,1.93,6.6,141.24,3.56
30-39,Low,Together,Spain,37.08,1.62,73.58,9.35,2.54,9.75,133.92,5.36
30-39,Low,Together,USA,29.79,1.13,49.63,6.09,3.12,7.57,97.33,3.15
30-39,Low,Widow,Australia,64.6,9.6,178.4,2.0,2.6,4.6,261.8,0.0
30-39,Low,Widow,Canada,54.54,0.25,116.14,12.21,7.36,14.04,204.54,3.57
30-39,Low,Widow,Germany,91.5,4.17,86.67,30.5,8.0,8.17,229.0,0.0
30-39,Low,Widow,India,20.89,13.44,90.67,8.33,0.56,8.67,142.56,11.11
30-39,Low,Widow,Mexico,0.0,0.0,0.0,4.0,1.0,0.0,5.0,0.0
30-39,Low,Widow,Saudi Arabia,36.17,1.92,132.42,13.15,1.83,9.53,195.02,3.33
30-39,Low,Widow,Spain,40.64,2.67,105.36,14.03,3.07,10.76,176.53,7.14
30-39,Low,Widow,USA,0.0,18.0,493.0,0.0,9.0,12.0,532.0,0.0
30-39,Low,YOLO,Canada,54.67,0.11,103.94,6.83,0.0,2.56,168.11,11.11
30-39,Low,YOLO,Germany,0.0,0.0,32.0,31.0,0.0,0.0,63.0,0.0
30-39,Low,YOLO,India,5.29,3.71,43.29,3.57,0.0,19.43,75.29,14.29
30-39,Low,YOLO,Saudi Arabia,3.83,3.67,48.5,6.08,0.5,2.75,65.33,0.0
30-39,Low,YOLO,Spain,33.5,0.25,36.92,6.75,0.08,7.83,85.33,16.67
30-39,Low,YOLO,USA,1.0,0.2,38.6,39.2,0.4,2.8,82.2,0.0
30-39,Medium,Absurd,Canada,365.5,15.38,554.63,38.13,3.13,22.5,999.25,12.5
30-39,Medium,Absurd,Germany,12.0,0.0,1062.0,4.0,9.0,70.0,1157.0,0.0
30-39,Medium,Absurd,India,321.71,4.71,470.57,41.86,24.71,28.57,892.14,42.86
30-39,Medium,Absurd,Mexico,0.0,0.0,83.0,185.0,12.0,20.0,300.0,0.0
30-39,Medium,Absurd,Saudi Arabia,283.83,9.5,415.33,97.17,9.5,24.33,839.67,33.33
30-39,Medium,Absurd,Spain,213.47,9.63,245.71,42.95,12.32,38.89,562.97,10.53
30-39,Medium,Absurd,USA,355.17,25.67,207.5,11.83,3.33,23.0,626.5,16.67
30-39,Medium,Alone,Australia,88.33,21.78,432.11,39.67,23.67,48.44,654.0,33.33
30-39,Medium,Alone,Canada,142.67,12.0,200.22,34.78,6.89,12.44,409.0,11.11
30-39,Medium,Alone,Germany,0.0,1.0,46.5,22.5,15.5,21.5,107.0,0.0
30-39,Medium,Alone,India,327.67,0.33,421.0,91.0,5.0,95.67,940.67,0.0
30-39,Medium,Alone,Mexico,225.0,25.0,974.0,53.0,87.0,60.0,1424.0,100.0
30-39,Medium,Alone,Saudi Arabia,99.6,12.3,221.4,39.3,9.7,70.3,452.6,0.0
30-39,Medium,Alone,Spain,163.1,3.25,152.85,54.45,13.0,40.05,426.7,10.0
30-39,Medium,Alone,USA,75.0,0.0,39.0,8.0,0.0,0.0,122.0,0.0
30-39,Medium,Divorced,Australia,143.45,10.35,216.06,55.35,15.87,47.55,488.65,6.45
30-39,Medium,Divorced,Canada,234.17,14.77,241.48,45.96,12.22,36.04,584.64,10.84
30-39,Medium,Divorced,Germany,248.24,13.55,296.9,41.24,15.07,28.9,643.9,13.79
30-39,Medium,Divorced,India,200.23,14.89,291.4,52.44,17.89,44.24,621.08,19.32
30-39,Medium,Divorced,Mexico,333.5,0.0,181.0,17.5,41.5,6.0,579.5,0.0
30-39,Medium,Divorced,Saudi Arabia,145.14,7.77,216.53,49.5,10.5,26.93,456.36,21.62
30-39,Medium,Divorced,Spain,155.01,8.38,240.02,37.55,11.2,25.38,477.53,9.45
30-39,Medium,Divorced,USA,69.83,11.23,227.09,45.43,21.63,32.43,407.63,5.71
30-39,Medium,Married,Australia,187.71,7.71,246.52,32.81,13.57,30.98,519.31,14.29
30-39,Medium,Married,Canada,132.08,7.71,184.95,31.16,10.2,22.14,388.24,10.71
30-39,Medium,Married,Germany,104.08,7.38,149.23,19.23,12.75,24.02,316.69,8.33
30-39,Medium,Married,India,186.0,10.82,253.29,31.84,17.22,26.26,525.43,13.16
30-39,Medium,Married,Mexico,168.17,4.67,40.5,36.0,6.75,21.17,277.25,0.0
30-39,Medium,Married,Saudi Arabia,78.04,5.15,161.09,25.5,8.74,21.45,299.96,9.49
30-39,Medium,Married,Spain,116.32,4.99,185.72,21.61,9.57,27.21,365.42,10.79
30-39,Medium,Married,USA,114.82,8.35,170.65,29.58,9.94,15.4,348.75,7.14
30-39,Medium,Single,Australia,260.14,7.27,258.31,37.77,16.68,37.9,618.06,13.51
30-39,Medium,Single,Canada,174.94,8.44,189.9,37.24,7.84,25.73,444.09,10.2
30-39,Medium,Single,Germany,170.4,9.19,233.78,43.72,13.9,32.88,503.87,19.17
30-39,Medium,Single,India,221.92,14.72,252.84,42.19,19.17,33.81,584.66,15.63
30-39,Medium,Single,Mexico,66.21,22.79,252.71,30.64,16.07,20.64,409.07,0.0
30-39,Medium,Single,Saudi Arabia,150.59,15.15,219.76,33.15,7.15,24.04,449.84,8.06
30-39,Medium,Single,Spain,197.72,7.46,205.66,30.6,9.35,32.01,482.78,10.81
30-39,Medium,Single,USA,241.0,4.83,241.65,34.83,10.52,30.48,563.3,13.04
30-39,Medium,Together,Australia,264.44,14.02,236.43,46.08,17.58,32.8,611.36,15.15
30-39,Medium,Together,Canada,121.01,9.81,215.53,45.6,12.8,22.33,427.07,6.8
30-39,Medium,Together,Germany,161.23,10.74,267.97,33.01,11.89,36.72,521.55,8.05
30-39,Medium,Together,India,137.81,12.89,184.7,40.12,18.93,34.94,429.4,15.09
30-39,Medium,Together,Mexico,137.05,10.55,226.55,36.5,11.05,17.05,438.75,0.0
30-39,Medium,Together,Saudi Arabia,137.0,7.23,192.27,29.66,9.33,24.61,400.11,9.45
30-39,Medium,Together,Spain,149.47,8.17,179.41,33.17,9.4,22.59,402.2,12.64
30-39,Medium,Together,USA,194.19,8.33,221.25,26.93,12.68,30.1,493.47,14.18
30-39,Medium,Widow,Australia,238.57,0.86,295.14,36.71,45.29,16.43,633.0,0.0
30-39,Medium,Widow,Canada,107.04,7.64,140.12,14.68,15.64,16.16,301.28,0.0
30-39,Medium,Widow,Germany,323.8,3.7,221.3,61.7,22.5,30.5,663.5,0.0
30-39,Medium,Widow,India,128.69,8.19,159.88,26.94,17.56,40.75,382.0,6.25
30-39,Medium,Widow,Mexico,1061.0,6.0,1133.0,92.0,4.0,13.0,2309.0,0.0
30-39,Medium,Widow,Saudi Arabia,155.83,10.74,207.65,46.08,17.07,22.24,459.62,10.47
30-39,Medium,Widow,Spain,53.03,7.8,225.61,39.64,21.46,19.63,367.17,3.95
30-39,Medium,Widow,USA,373.33,7.83,36.67,20.17,13.0,67.33,518.33,16.67
30-39,Medium,YOLO,Australia,3.33,0.0,150.33,16.0,0.33,4.33,174.33,0.0
30-39,Medium,YOLO,Canada,53.47,5.47,292.4,27.87,5.2,23.27,407.67,20.0
30-39,Medium,YOLO,Germany,17.71,0.29,358.57,52.43,12.71,12.43,454.14,0.0
30-39,Medium,YOLO,India,0.8,4.2,127.4,76.2,2.8,35.4,246.8,40.0
30-39,Medium,YOLO,Saudi Arabia,219.19,12.69,186.5,37.69,6.13,22.13,484.31,31.25
30-39,Medium,YOLO,Spain,135.13,6.4,137.67,40.47,0.93,10.87,331.47,13.33
30-39,Medium,YOLO,USA,384.75,0.0,107.25,10.25,0.25,32.75,535.25,0.0
30-39,Upper-Mid,Absurd,Australia,66.0,13.5,153.0,5.5,114.5,13.5,366.0,0.0
30-39,Upper-Mid,Absurd,Canada,202.25,0.75,240.5,13.5,4.0,47.25,508.25,50.0
30-39,Upper-Mid,Absurd,India,24.33,3.0,333.67,18.33,61.33,85.0,525.67,0.0
30-39,Upper-Mid,Absurd,Mexico,94.0,4.5,642.5,3.5,1.0,20.0,765.5,0.0
30-39,Upper-Mid,Absurd,Saudi Arabia,41.5,102.5,156.5,15.0,77.5,27.0,420.0,0.0
30-39,Upper-Mid,Absurd,Spain,241.73,2.91,162.55,31.64,21.0,64.45,524.27,27.27
30-39,Upper-Mid,Absurd,USA,192.0,52.0,202.0,38.0,3.0,2.0,489.0,0.0
30-39,Upper-Mid,Alone,Australia,379.0,45.4,419.4,49.6,6.6,42.8,942.8,40.0
30-39,Upper-Mid,Alone,Canada,171.67,7.33,600.0,54.83,21.83,75.17,930.83,16.67
30-39,Upper-Mid,Alone,Germany,74.0,5.0,13.0,7.0,4.0,12.0,115.0,0.0
30-39,Upper-Mid,Alone,India,417.67,49.0,179.33,34.67,12.0,51.33,744.0,33.33
30-39,Upper-Mid,Alone,Saudi Arabia,74.8,1.6,197.8,107.8,31.6,84.4,498.0,40.0
30-39,Upper-Mid,Alone,Spain,233.36,25.55,159.18,35.0,26.0,21.27,500.36,27.27
30-39,Upper-Mid,Alone,USA,0.0,0.0,494.0,61.0,31.5,50.0,636.5,0.0
30-39,Upper-Mid,Divorced,Australia,250.6,22.0,315.73,59.0,33.13,39.07,719.53,46.67
30-39,Upper-Mid,Divorced,Canada,218.45,15.29,290.29,53.92,20.82,34.47,633.24,15.79
30-39,Upper-Mid,Divorced,Germany,382.0,22.18,257.89,84.68,23.25,56.0,826.0,14.29
30-39,Upper-Mid,Divorced,India,324.3,20.17,327.72,62.89,26.09,52.13,813.3,21.74
30-39,Upper-Mid,Divorced,Mexico,821.67,24.0,74.67,20.0,10.33,23.0,973.67,33.33
30-39,Upper-Mid,Divorced,Saudi Arabia,206.5,21.22,339.67,66.39,24.42,33.53,691.72,11.11
30-39,Upper-Mid,Divorced,Spain,196.8,17.11,218.25,54.97,15.41,35.69,538.23,9.84
30-39,Upper-Mid,Divorced,USA,339.75,32.83,356.13,38.5,11.79,26.75,805.75,20.83
30-39,Upper-Mid,Married,Australia,273.22,7.05,329.51,49.73,12.78,38.22,710.51,18.92
30-39,Upper-Mid,Married,Canada,234.52,11.93,242.77,62.95,17.93,27.81,597.92,11.36
30-39,Upper-Mid,Married,Germany,152.69,10.88,220.38,18.94,9.56,25.5,437.94,12.5
30-39,Upper-Mid,Married,India,319.28,13.48,236.28,48.76,19.1,43.52,680.41,20.69
30-39,Upper-Mid,Married,Mexico,140.43,14.07,177.36,48.14,37.21,22.14,439.36,28.57
30-39,Upper-Mid,Married,Saudi Arabia,160.92,20.08,223.7,48.33,18.89,26.94,498.86,15.63
30-39,Upper-Mid,Married,Spain,222.18,13.63,297.69,47.35,15.02,40.31,636.18,18.44
30-39,Upper-Mid,Married,USA,229.89,11.46,237.96,41.43,24.36,28.21,573.32,3.57
30-39,Upper-Mid,Single,Australia,280.11,14.52,319.84,47.84,23.42,46.29,732.01,16.44
30-39,Upper-Mid,Single,Canada,267.11,6.95,272.53,75.85,20.41,54.33,697.18,15.15
30-39,Upper-Mid,Single,Germany,218.47,13.36,292.75,50.31,25.26,40.1,640.25,12.35
30-39,Upper-Mid,Single,India,359.53,14.13,307.21,62.13,29.95,53.32,826.26,26.32
30-39,Upper-Mid,Single,Mexico,151.0,8.4,262.4,22.4,13.2,28.6,486.0,0.0
30-39,Upper-Mid,Single,Saudi Arabia,324.52,17.34,308.9,62.55,16.76,44.69,774.76,13.79
30-39,Upper-Mid,Single,Spain,267.07,12.18,287.36,40.22,17.44,37.45,661.73,12.42
30-39,Upper-Mid,Single,USA,314.81,19.33,281.48,57.33,27.81,30.14,730.9,19.05
30-39,Upper-Mid,Together,Australia,227.14,13.44,249.36,56.27,37.67,37.11,621.0,24.29
30-39,Upper-Mid,Together,Canada,229.17,9.65,303.91,64.52,22.1,36.9,666.25,13.1
30-39,Upper-Mid,Together,Germany,229.59,13.02,282.09,42.38,15.45,38.88,621.39,16.07
30-39,Upper-Mid,Together,India,333.19,23.39,301.1,54.06,33.87,45.74,791.35,12.9
30-39,Upper-Mid,Together,Mexico,197.44,14.13,426.63,46.13,38.25,30.31,752.88,12.5
30-39,Upper-Mid,Together,Saudi Arabia,229.77,21.29,258.22,54.01,24.4,40.16,627.85,10.53
30-39,Upper-Mid,Together,Spain,288.91,12.28,248.41,44.46,25.62,37.04,656.73,10.87
30-39,Upper-Mid,Together,USA,235.27,16.64,248.0,40.53,25.88,50.06,616.38,17.19
30-39,Upper-Mid,Widow,Australia,470.0,29.8,440.0,62.6,13.0,50.0,1065.4,20.0
30-39,Upper-Mid,Widow,Canada,155.36,9.36,241.5,35.14,21.29,26.14,488.79,7.14
30-39,Upper-Mid,Widow,Germany,267.0,9.6,273.0,62.6,10.4,73.0,695.6,20.0
30-39,Upper-Mid,Widow,India,170.33,28.08,439.25,94.25,52.75,60.17,844.83,8.33
30-39,Upper-Mid,Widow,Mexico,364.0,0.0,294.0,3.0,0.0,80.0,741.0,0.0
30-39,Upper-Mid,Widow,Saudi Arabia,207.02,16.3,307.39,56.03,31.72,34.69,653.15,21.31
30-39,Upper-Mid,Widow,Spain,121.83,19.32,338.07,59.77,26.68,34.05,599.73,10.0
30-39,Upper-Mid,Widow,USA,557.4,16.4,117.6,14.6,32.4,34.4,772.8,20.0
30-39,Upper-Mid,YOLO,Canada,7.5,0.0,457.5,11.0,0.5,7.5,484.0,0.0
30-39,Upper-Mid,YOLO,Germany,917.25,8.5,423.5,64.75,7.0,31.0,1452.0,25.0
30-39,Upper-Mid,YOLO,India,280.0,5.5,325.5,76.5,43.25,22.25,753.0,0.0
30-39,Upper-Mid,YOLO,Saudi Arabia,129.3,13.7,480.8,31.0,28.2,78.1,761.1,30.0
30-39,Upper-Mid,YOLO,Spain,87.88,6.13,319.5,14.88,36.38,36.13,500.88,37.5
30-39,Upper-Mid,YOLO,USA,91.5,0.5,186.0,134.5,57.0,65.5,535.0,50.0
30-39,Very High,Absurd,Australia,240.0,11.0,230.67,108.67,75.0,171.0,836.33,33.33
30-39,Very High,Absurd,Canada,210.5,22.5,546.0,178.0,11.0,4.5,972.5,100.0
30-39,Very High,Absurd,Germany,278.33,46.33,263.67,123.33,34.33,15.0,761.0,0.0
30-39,Very High,Absurd,India,0.0,43.0,43.0,132.0,153.0,47.0,418.0,0.0
30-39,Very High,Absurd,Mexico,588.0,4.0,1067.0,26.0,20.0,46.0,1751.0,0.0
30-39,Very High,Absurd,Saudi Arabia,326.0,43.0,606.0,153.0,85.0,16.0,1229.0,0.0
30-39,Very High,Absurd,Spain,619.67,26.83,321.33,61.33,46.33,31.33,1106.83,50.0
30-39,Very High,Absurd,USA,627.2,61.0,356.6,102.6,34.4,65.4,1247.2,40.0
30-39,Very High,Alone,Australia,809.5,19.33,380.33,141.83,22.0,65.5,1438.5,16.67
30-39,Very High,Alone,Canada,252.0,11.5,499.83,107.83,22.67,98.33,992.17,33.33
30-39,Very High,Alone,Germany,747.0,70.0,635.0,134.0,37.0,23.0,1646.0,100.0
30-39,Very High,Alone,India,560.5,63.0,133.0,50.0,1.0,14.0,821.5,50.0
30-39,Very High,Alone,Saudi Arabia,527.67,29.22,585.0,104.22,39.89,68.0,1354.0,11.11
30-39,Very High,Alone,Spain,450.22,27.56,488.11,146.33,63.89,68.11,1244.22,44.44
30-39,Very High,Alone,USA,584.67,21.33,294.33,106.0,4.67,75.0,1086.0,33.33
30-39,Very High,Divorced,Australia,537.77,26.43,451.0,90.8,54.4,55.5,1215.9,20.0
30-39,Very High,Divorced,Canada,353.9,49.8,381.55,115.05,50.88,47.6,998.77,17.5
30-39,Very High,Divorced,Germany,386.7,36.26,383.61,130.09,43.13,40.78,1020.57,8.7
30-39,Very High,Divorced,India,401.23,33.0,425.02,120.9,60.33,82.17,1122.65,32.5
30-39,Very High,Divorced,Mexico,650.0,48.5,216.5,144.5,7.5,27.5,1094.5,0.0
30-39,Very High,Divorced,Saudi Arabia,560.72,41.98,460.74,125.33,42.39,45.98,1277.15,31.15
30-39,Very High,Divorced,Spain,451.18,32.53,367.65,96.82,51.07,61.61,1060.85,22.97
30-39,Very High,Divorced,USA,618.76,28.8,425.76,115.8,53.0,42.12,1284.24,40.0
30-39,Very High,Married,Australia,518.33,29.62,436.62,87.09,43.69,49.62,1164.98,42.22
30-39,Very High,Married,Canada,478.36,34.43,429.33,91.69,54.62,52.33,1140.76,28.57
30-39,Very High,Married,Germany,588.76,22.65,535.47,107.24,40.53,43.71,1338.35,29.41
30-39,Very High,Married,India,316.68,35.23,410.86,137.23,74.45,47.82,1022.27,54.55
30-39,Very High,Married,Mexico,243.5,6.5,513.33,120.5,46.0,62.33,992.17,33.33
30-39,Very High,Married,Saudi Arabia,416.02,50.18,546.33,67.96,37.06,55.41,1172.96,27.45
30-39,Very High,Married,Spain,500.22,29.2,440.99,79.15,32.23,59.67,1141.46,32.61
30-39,Very High,Married,USA,478.14,29.89,582.32,91.04,66.11,63.5,1311.0,32.14
30-39,Very High,Single,Australia,548.89,31.02,490.44,85.11,46.87,80.16,1282.49,39.68
30-39,Very High,Single,Canada,497.13,29.56,396.56,94.13,27.69,49.0,1094.08,25.64
30-39,Very High,Single,Germany,417.42,33.94,575.08,79.26,30.26,72.74,1208.7,36.0
30-39,Very High,Single,India,403.44,44.62,460.97,105.76,37.09,66.88,1118.76,32.35
30-39,Very High,Single,Mexico,315.5,35.38,467.38,100.63,65.25,34.88,1019.0,25.0
30-39,Very High,Single,Saudi Arabia,448.8,36.39,353.02,121.14,40.34,56.14,1055.82,34.09
30-39,Very High,Single,Spain,548.58,28.24,414.8,91.65,48.28,60.43,1191.98,20.66
30-39,Very High,Single,USA,477.22,39.11,424.61,60.28,65.0,66.83,1133.06,33.33
30-39,Very High,Together,Australia,561.43,29.59,410.98,107.25,52.49,69.0,1230.75,26.98
30-39,Very High,Together,Canada,490.0,38.75,513.77,85.41,46.93,71.62,1246.48,14.15
30-39,Very High,Together,Germany,416.77,44.33,474.67,87.3,42.5,48.82,1114.38,31.67
30-39,Very High,Together,India,444.94,32.97,480.44,85.59,61.41,61.28,1166.63,9.38
30-39,Very High,Together,Mexico,621.43,65.29,394.0,142.14,65.86,49.14,1337.86,42.86
